# ElevenLabs Pronunciation Dictionary for Japanese Medical/Dental Terms
# Format: word phonemes
# IPA notation for Japanese pronunciation

# 医療従事者・施設
歯科医師 ʃikaiʃi
歯科医院 ʃikaiin
歯科医 ʃikai
医師 iʃi
医者 iʃija
看護師 kanɡoʃi
医院 iin
病院 bijoɯin

# 歯の部位
歯科 ʃika
歯科衛生士 ʃikaeiseiʃi
歯が痛くて困っています haɡaitakɯtekomatteimasɯ
歯が痛くて haɡaitakɯte
歯が痛い haɡaitai
歯が痛む haɡaitamɯ
歯がしみる haɡaʃimiɾɯ
歯が浮く haɡaɯkɯ
歯がぐらぐら haɡaɡɯɾaɡɯɾa
歯が抜けた haɡanɯketa
歯が欠けた haɡakaketa
歯が折れた haɡaoɾeta
歯がしみます haɡaʃimimasɯ
歯が動く haɡaɯɡokɯ
以前に歯の治療を受けたことはありますか izenni,hanotʃiɾijoɯoɯketakotohaaɾimasɯka
歯の治療を受けたことはありますか hanotʃiɾijoɯo,ɯketakotohaaɾimasɯka
歯の治療 hanotʃiɾijoɯ
歯の治療歴 hanotʃiɾijoɯɾeki
奥歯が okɯbaɡa
前歯が maebaɡa
歯が haɡa
歯を hao
歯の hano
歯に hani
歯は haha
歯で hade
歯から hakaɾa
奥歯 okɯba
前歯 maeba
犬歯 kenʃi
臼歯 kijɯɯʃi
乳歯 nijɯɯʃi
永久歯 eikijɯɯʃi
智歯 tʃiʃi
歯 ha
歯茎 haɡɯki
歯肉 ʃinikɯ
口 kɯtʃi
口腔 koɯkɯɯ
口腔内 koɯkɯɯnai
口蓋 koɯɡai
虫歯 mɯʃiba
虫歯の治療 mɯʃibanotʃiɾijoɯ
虫歯が進行 mɯʃibaɡaʃinkoɯ
虫歯になる mɯʃibaninaɾɯ
歯周病 ʃiʃijɯɯbijoɯ
歯肉炎 ʃinikɯen
歯周炎 ʃiʃijɯɯen
歯槽膿漏 ʃisoɯnoɯɾoɯ
口内炎 koɯnaien
歯髄炎 ʃizɯien
歯根膜炎 ʃikonmakɯen
抜歯になるんじゃないかと心配です baʃʃininaɾɯndʒijanaikato,ʃinpaidesɯ
抜歯になるんじゃないか baʃʃininaɾɯndʒijanaika
抜歯になる baʃʃininaɾɯ
抜歯する baʃʃisɯɾɯ
抜歯して baʃʃiʃite
抜歯した baʃʃiʃita
抜歯を baʃʃio
抜歯が baʃʃiɡa
抜歯の baʃʃino
抜歯 baʃʃi
歯石取り ʃisekitoɾi
歯石除去 ʃisekidʒijokijo
入れ歯 iɾeba
義歯 ɡiʃi
部分入れ歯 bɯbɯniɾeba
総入れ歯 soɯiɾeba
仮歯 kaɾiba
差し歯 saʃiba
銀歯 ɡinba
金歯 kinba
歯周ポケット検査 ʃiʃijɯɯpokettokensa
歯磨き hamiɡaki
口をゆすぐ kɯtʃiojɯsɯɡɯ
口を開ける kɯtʃioakeɾɯ
口を閉じる kɯtʃiotodʒiɾɯ

# 症状
痛い itai
痛み itami
痛む itamɯ
痛くて itakɯte
痛みます itamimasɯ
痛すぎる itasɯɡiɾɯ
痛かった itakatta
激痛 ɡekitsɯɯ
鈍痛 dontsɯɯ
放散痛 hoɯsantsɯɯ
持続痛 dʒizokɯtsɯɯ
間欠痛 kanketsɯtsɯɯ
腫れる haɾeɾɯ
腫れて haɾete
腫れている haɾeteiɾɯ
腫れ haɾe
出血 ʃijɯkketsɯ
血 tʃi
血が出る tʃiɡadeɾɯ
血が止まらない tʃiɡatomaɾanai
血液検査 ketsɯekikensa
痛み止め itamidome
鎮痛薬 tʃintsɯɯjakɯ
鎮痛剤 tʃintsɯɯzai
高血圧 koɯketsɯatsɯ
血圧 ketsɯatsɯ
痛みません itamimasen
痛みました itamimaʃita
痛まない itamanai
痛んだ itanda
腫れません haɾemasen
腫れました haɾemaʃita
腫れます haɾemasɯ
腫れない haɾenai
腫れた haɾeta

# 治療・処置
治療室 tʃiɾijoɯʃitsɯ
治療を受けたことはありますか tʃiɾijoɯo,ɯketakotohaaɾimasɯka
治療歴 tʃiɾijoɯɾeki
治療 tʃiɾijoɯ
削る kezɯɾɯ
削って kezɯtte
削った kezɯtta
根管治療 konkantʃiɾijoɯ
神経を抜く ʃinkeionɯkɯ

# 薬剤
抗生剤 koɯseizai
抗菌薬 koɯkinjakɯ
